,ax,ay,az,gx,gy,gz,action
198,-1.48,-2.06,13.3,52.63,-61.72,-29.57,grenade
199,0.46,-3.14,10.45,59.89,-86.61,-29.45,grenade
200,1.37,-2.35,7.19,36.37,-49.59,-25.34,grenade
201,1.41,-2.65,4.02,-24.81,-16.0,-57.57,grenade
202,0.18,-5.69,0.43,-72.33,-9.09,-99.14,grenade
203,0.78,-5.0,-0.91,49.35,-46.1,-165.32,grenade
204,-1.24,-4.57,-2.56,50.31,13.41,-192.0,grenade
205,-4.44,-3.33,-2.57,33.84,-97.16,-158.16,grenade
206,-4.59,-0.26,-1.62,-95.64,-282.43,-23.02,grenade
207,0.24,-2.09,1.14,-269.29,224.13,173.5,grenade
208,7.16,-12.18,-5.05,-273.29,220.38,303.5,grenade
209,20.61,-15.88,-5.41,-122.81,166.24,294.54,grenade
210,20.05,-16.69,-10.63,-155.34,287.31,251.51,grenade
211,14.38,-18.77,-13.19,-155.34,321.08,202.14,grenade
212,7.04,-18.35,-13.71,-161.66,-262.91,188.07,grenade
213,-3.67,-19.03,-15.22,-155.34,-295.69,265.76,grenade
214,-9.94,-16.87,-22.21,-155.34,153.85,322.15,grenade
215,-14.75,-7.15,-26.51,-155.34,96.8,-201.32,grenade
216,-16.88,-9.07,-22.79,240.89,-4.71,-87.76,grenade
217,-17.77,-9.86,-22.43,274.45,-19.42,121.98,grenade
218,-8.14,-8.5,-22.45,253.69,-209.65,318.0,grenade
219,-1.72,-6.72,-19.33,111.0,-109.0,-292.27,grenade
220,-1.36,-8.56,-17.12,-111.84,-0.21,-246.14,grenade
221,0.05,-11.97,-14.2,-298.14,-112.52,-209.82,grenade
222,2.41,-14.29,-10.72,319.64,-96.26,-204.62,grenade
223,5.46,-20.05,-7.77,155.33,-147.28,-169.24,grenade
224,10.07,-24.56,-1.14,155.33,-72.66,-241.35,grenade
225,6.79,-27.97,1.66,155.33,139.26,-285.89,grenade
226,1.64,-27.68,19.6,247.74,-225.46,-313.89,grenade
227,9.04,-9.86,23.88,-38.97,201.21,-20.96,grenade
228,14.55,-7.43,23.82,-236.83,181.62,37.43,grenade
229,-5.95,-5.83,24.31,158.9,245.97,4.94,grenade
230,-1.7,-0.83,20.37,-80.52,-193.96,-22.53,grenade
231,4.11,-3.45,18.56,15.26,24.73,3.26,grenade
232,-1.3,-0.49,13.62,77.24,10.88,-7.08,grenade
