,ax,ay,az,gx,gy,gz,action
195,-2.88,-2.6,0.23,-0.64,-53.6,-97.23,grenade
196,-1.56,-1.53,-1.12,-9.43,-178.66,-91.65,grenade
197,-1.64,-1.81,-1.13,-50.11,-68.48,-69.08,grenade
198,-3.68,-1.68,-2.44,-85.33,-85.88,-16.99,grenade
199,-2.05,-1.78,-1.51,-142.28,-256.12,66.1,grenade
200,1.39,-6.71,-0.79,-200.92,-263.41,162.58,grenade
201,11.56,-15.5,-5.5,-127.42,161.03,259.23,grenade
202,16.57,-15.65,-5.5,-12.13,321.95,264.95,grenade
203,13.75,-14.54,-8.52,-10.08,-323.26,160.24,grenade
204,15.6,-13.59,-9.92,40.05,259.6,130.71,grenade
205,14.27,-10.7,-8.11,33.37,-122.3,111.41,grenade
206,9.18,-9.48,-6.46,48.83,-61.97,71.55,grenade
207,6.29,-7.81,-6.16,18.96,-94.06,40.5,grenade
208,5.74,-7.97,-5.4,1.0,-125.11,22.93,grenade
209,4.73,-8.09,-4.88,1.93,-11.62,21.16,grenade
210,18.9,-7.28,3.01,276.87,-11.35,155.33,grenade
211,18.63,2.83,4.59,261.48,-142.39,155.33,grenade
212,19.43,-3.96,6.6,123.74,-32.42,155.33,grenade
213,3.43,-15.39,3.93,173.33,87.91,155.33,grenade
214,-3.53,-10.65,-4.94,309.33,-2.6,191.67,grenade
215,-7.42,0.0,-12.96,228.62,45.7,-298.01,grenade
216,-11.73,1.28,-16.44,121.4,55.3,-130.33,grenade
217,-7.47,4.01,-18.32,-17.97,-168.97,44.75,grenade
218,-6.11,3.78,-17.01,-184.21,-35.26,70.63,grenade
219,-6.2,-1.24,-15.38,275.31,-16.45,120.11,grenade
220,-2.9,-4.75,-11.56,177.45,-167.98,145.29,grenade
221,-2.38,-7.72,-5.07,184.06,-20.87,182.4,grenade
222,-2.65,-9.5,-3.52,232.5,1.75,150.14,grenade
223,-2.42,-13.53,3.02,298.33,2.04,185.43,grenade
224,-1.83,-14.12,10.24,-278.52,77.94,200.01,grenade
225,4.68,-9.96,20.5,-165.11,9.52,154.09,grenade
226,7.84,-4.79,25.56,-107.33,-51.83,-0.21,grenade
227,3.22,-2.41,21.65,46.31,66.67,-39.81,grenade
228,-0.05,2.3,15.0,54.46,36.18,-28.33,grenade
229,0.25,2.05,12.08,-7.99,-10.07,-6.36,grenade
230,-0.28,1.12,9.67,6.14,-1.11,4.91,grenade
231,-0.8,0.65,6.11,10.59,-21.22,-16.4,grenade
232,-1.4,0.69,3.81,18.08,-11.68,-34.31,grenade
233,-0.89,-0.37,2.04,-23.46,-63.75,-57.37,grenade
234,-0.76,-1.53,1.81,-29.52,-92.23,-95.02,grenade
235,-2.58,-2.16,0.77,-52.79,-38.56,-100.47,grenade
236,-3.83,-1.84,-0.45,-81.56,-108.28,-70.45,grenade
237,-2.33,-2.49,-0.5,-124.59,-247.04,-7.78,grenade
238,-1.96,-3.52,-1.08,-140.98,-184.85,74.39,grenade
239,-0.27,-5.82,-2.01,-152.44,-323.06,146.64,grenade
240,5.11,-11.52,-1.38,-179.35,275.56,289.78,grenade
241,10.79,-14.98,-6.47,-54.2,283.3,286.7,grenade
242,15.56,-17.76,-5.66,-69.5,233.88,266.19,grenade
243,14.14,-17.7,-10.41,29.4,-267.33,229.35,grenade
244,15.35,-16.59,-9.63,34.62,249.27,189.4,grenade
245,8.04,-9.25,2.54,86.9,93.84,155.33,grenade
246,2.23,-8.35,-4.19,176.93,28.13,155.33,grenade
247,-5.17,-5.79,-14.93,226.1,46.57,264.83,grenade
248,-11.37,4.49,-21.79,105.35,8.8,-176.06,grenade
249,-11.19,4.49,-22.63,-102.1,-132.18,47.22,grenade
250,-4.62,1.68,-17.93,303.39,-137.73,121.94,grenade
251,-2.97,-6.52,-12.65,155.33,-22.29,135.02,grenade
252,-4.54,-13.06,-7.09,166.76,79.27,154.67,grenade
253,-4.43,-12.41,-5.74,244.58,-34.5,137.95,grenade
254,-2.83,-16.05,1.42,322.45,-80.63,153.53,grenade
255,1.62,-14.46,12.62,-202.39,-60.2,196.79,grenade
256,6.41,-7.23,24.53,-191.95,140.74,136.85,grenade
257,2.78,-5.16,21.17,-36.79,-67.7,16.83,grenade
258,5.89,-0.22,19.54,-51.79,-1.26,-20.23,grenade
259,2.26,-0.22,16.69,16.25,25.2,-22.44,grenade
260,0.35,1.8,11.64,68.19,43.12,-26.14,grenade
261,-0.32,2.4,8.72,-22.37,5.43,-2.71,grenade
262,-0.98,0.86,7.57,-1.28,-10.19,-12.92,grenade
263,-1.39,1.19,5.75,30.16,-5.61,-12.84,grenade
264,-0.29,-0.41,4.59,-3.29,-64.47,-28.1,grenade
265,-0.44,-2.22,3.61,-31.72,-95.32,-69.17,grenade
266,-1.16,-3.34,1.95,-22.09,-99.49,-92.13,grenade
267,-3.13,-3.38,-1.16,-19.57,-82.28,-81.07,grenade
268,-3.99,-1.42,-2.79,-75.23,-198.19,-28.82,grenade
269,-2.19,-3.12,-2.32,-129.08,-277.77,60.64,grenade
270,-1.46,-4.49,-3.57,-85.95,-189.88,181.36,grenade
271,3.28,-8.37,-3.83,-172.13,305.59,302.23,grenade
272,13.78,-17.59,-4.88,-153.66,178.15,317.6,grenade
273,16.11,-15.67,-5.99,53.86,-310.9,246.84,grenade
274,20.21,-16.89,-6.24,75.62,-310.23,254.03,grenade
275,18.57,-14.5,-5.85,67.08,-61.13,246.23,grenade
276,13.22,-13.29,-6.25,52.7,-129.72,157.45,grenade
277,12.0,-10.55,-6.58,26.15,-196.67,100.82,grenade
278,10.18,-9.79,-4.94,-0.62,-123.42,57.48,grenade
279,6.19,-8.59,-4.18,13.61,-13.84,24.91,grenade
280,23.24,-11.18,2.93,206.84,-154.58,155.33,grenade
281,22.69,1.07,2.64,140.72,-211.3,155.33,grenade
282,19.61,-6.69,6.17,-11.75,-54.18,155.33,grenade
283,3.33,-16.39,1.01,58.79,66.97,155.33,grenade
284,-7.23,-8.81,-16.65,170.85,-6.89,197.17,grenade
285,-9.94,5.37,-21.73,-29.32,73.04,-233.79,grenade
286,-9.14,2.11,-14.78,-145.85,44.81,-17.27,grenade
287,-3.86,-0.23,-13.04,259.89,-98.86,71.46,grenade
288,-4.04,-6.79,-8.49,155.33,34.41,109.17,grenade
289,-3.34,-11.09,-5.78,287.42,6.76,142.2,grenade
290,-2.19,-13.24,-2.54,293.6,-13.65,135.09,grenade
291,-0.18,-14.4,4.34,-231.89,-21.04,156.9,grenade
292,3.13,-8.32,16.87,-135.75,103.27,148.92,grenade
293,-1.44,-6.22,24.41,-165.9,90.11,25.27,grenade
294,3.76,-0.94,16.74,15.01,-2.35,-39.11,grenade
295,1.65,0.97,14.02,14.57,47.41,-24.5,grenade
296,-1.47,1.31,11.7,24.12,54.99,-24.76,grenade
297,-1.57,0.47,8.23,6.63,-55.8,-22.41,grenade
298,0.68,-0.68,5.7,-15.32,-69.06,-30.87,grenade
299,-0.77,-1.54,3.39,-3.86,20.28,-65.54,grenade
300,-3.11,-2.11,0.96,-22.92,-27.55,-97.14,grenade
301,-2.81,-2.38,-0.78,-29.58,-180.15,-93.81,grenade
302,-3.11,-1.58,-2.05,-53.42,-116.93,-67.81,grenade
303,-3.96,-2.59,-3.57,-127.58,-190.26,1.09,grenade
304,-1.53,-4.19,-3.07,-173.17,-311.42,124.96,grenade
