,ax,ay,az,gx,gy,gz,action
152,-10.45,-22.7,7.87,155.33,223.07,-155.34,grenade
153,-1.22,-44.68,24.76,155.33,137.66,-210.64,grenade
154,4.71,-13.89,19.49,-31.96,252.58,116.86,grenade
155,6.79,11.74,17.67,-147.47,-280.41,-12.42,grenade
156,-0.09,0.58,6.96,96.3,26.12,-98.71,grenade
157,-3.05,9.35,2.33,196.02,-267.94,-93.83,grenade
158,-4.9,6.82,6.33,-127.0,179.91,-9.84,grenade
159,-3.77,6.03,7.42,50.83,-201.92,38.65,grenade
160,2.09,6.38,8.22,-45.79,-124.44,38.97,grenade
161,1.41,5.1,7.74,8.4,61.05,-7.53,grenade
162,-0.7,3.99,7.35,24.59,72.4,-10.42,grenade
163,0.81,1.43,6.62,36.74,-135.95,-5.11,grenade
164,-0.3,-3.11,5.87,47.32,-222.96,-80.87,grenade
165,-1.36,-3.1,2.88,74.98,-286.49,-117.53,grenade
166,-0.52,-1.36,0.7,22.87,-244.31,-111.56,grenade
167,-2.2,1.73,-1.06,-13.23,-139.94,-110.58,grenade
168,-4.04,3.25,-1.68,-122.26,-159.95,-17.19,grenade
169,-2.88,4.39,0.12,-172.17,-107.27,95.1,grenade
170,-3.21,1.29,1.82,-240.81,-46.35,227.22,grenade
171,0.87,-6.4,6.7,280.84,-47.18,-324.39,grenade
172,6.21,-13.53,9.22,310.43,-305.96,-281.63,grenade
173,19.59,-19.01,6.19,-318.23,301.99,-233.9,grenade
174,15.5,-19.2,4.87,-115.96,-191.61,-323.92,grenade
175,-4.69,-21.24,-6.74,-155.34,-30.76,-303.56,grenade
176,-5.71,-15.55,-12.56,-155.34,-83.5,311.82,grenade
177,-9.72,-4.74,-15.27,-155.34,27.92,323.63,grenade
178,-10.82,0.64,-18.74,313.3,-132.85,-279.71,grenade
179,-9.67,0.14,-10.48,59.04,10.11,-173.12,grenade
180,-8.65,2.36,-5.6,45.9,-57.53,-107.23,grenade
181,-9.91,0.11,-7.12,52.11,10.13,-64.94,grenade
182,-17.9,-1.51,-20.96,-46.14,25.88,76.42,grenade
183,-19.0,0.68,-24.29,-123.6,0.99,167.09,grenade
184,-10.62,-0.62,-15.52,-260.03,-38.77,238.97,grenade
185,-8.02,-1.21,-8.86,235.04,92.64,-287.17,grenade
186,-3.44,-18.49,-5.59,155.33,172.33,-155.34,grenade
187,0.46,-49.69,14.31,155.33,187.82,-213.59,grenade
188,3.41,-15.34,21.5,-100.59,-194.16,237.55,grenade
189,3.05,10.48,13.04,-114.32,-187.3,-20.87,grenade
190,-0.1,2.77,8.82,90.36,-48.41,-74.46,grenade
191,-3.51,6.32,6.17,83.67,266.4,-53.28,grenade
192,-6.04,6.43,5.71,-32.19,114.35,6.54,grenade
193,-3.08,3.91,9.49,-11.12,-118.92,29.89,grenade
194,1.16,3.85,10.26,23.45,-103.66,16.11,grenade
195,0.39,4.73,8.38,46.43,62.77,-14.11,grenade
196,-1.49,3.92,6.94,26.65,26.39,-6.18,grenade
197,0.84,2.41,5.97,23.28,-78.39,1.57,grenade
198,1.96,1.37,4.39,10.34,-113.42,-35.57,grenade
199,0.61,-3.73,3.72,-47.99,-156.75,-105.41,grenade
200,0.62,-3.36,0.28,-18.64,-263.84,-173.21,grenade
201,1.47,-2.99,1.72,-38.19,-166.02,-172.89,grenade
202,-3.02,1.61,-0.52,-20.87,41.32,-137.93,grenade
203,-5.32,3.31,-0.96,-146.46,-138.02,-36.15,grenade
204,-3.83,3.46,-0.49,-265.2,-131.86,110.32,grenade
205,0.36,-4.76,5.95,310.58,-171.7,193.17,grenade
206,5.05,-11.67,8.04,-271.36,-191.13,249.28,grenade
207,5.86,-15.39,7.79,-290.53,-304.28,259.29,grenade
208,16.45,-21.83,5.66,-322.7,298.4,290.45,grenade
209,15.22,-21.53,3.78,-125.29,-178.37,306.16,grenade
210,1.85,-28.81,2.9,-155.34,46.72,248.85,grenade
211,5.1,-24.75,4.02,-155.34,-23.21,179.3,grenade
212,1.67,-19.82,1.02,-155.34,113.96,201.98,grenade
213,-1.72,-15.33,-1.35,-155.34,124.38,245.04,grenade
214,-4.81,-12.65,-3.19,-155.34,81.7,309.18,grenade
215,-7.69,-8.51,-7.62,-155.34,12.31,-322.53,grenade
216,-9.24,-6.31,-11.23,-268.87,-155.13,-311.7,grenade
217,-10.62,1.12,-13.71,217.5,-24.81,-287.43,grenade
218,-11.49,-0.97,-7.94,73.47,0.47,-117.07,grenade
219,-9.21,1.91,-6.84,49.53,0.0,-51.39,grenade
220,-11.47,-0.97,-8.45,26.06,-3.79,-2.85,grenade
221,-18.02,-0.55,-16.2,13.41,102.02,2.83,grenade
222,-17.53,2.99,-17.88,-59.62,21.79,75.14,grenade
223,-14.85,6.19,-18.71,-65.46,-28.61,122.5,grenade
224,-11.61,6.94,-16.41,-187.92,34.76,229.41,grenade
225,-6.8,1.83,-10.55,-323.42,67.14,-310.43,grenade
226,-4.34,-9.81,-3.73,155.33,132.94,-287.78,grenade
227,-4.23,-28.74,0.54,155.33,278.83,-155.34,grenade
228,-0.18,-30.99,16.04,155.33,264.83,203.94,grenade
229,-1.36,-8.37,21.58,160.48,-304.57,111.99,grenade
230,6.42,3.05,11.96,-116.51,-241.5,99.76,grenade
231,2.06,0.91,10.95,117.44,-24.26,-135.47,grenade
232,-3.31,4.29,6.67,156.32,-291.03,-61.28,grenade
233,-5.89,6.09,4.64,-63.83,199.2,21.4,grenade
234,-4.72,3.76,7.98,-0.94,-163.2,19.33,grenade
235,0.18,4.26,9.3,-28.97,-128.13,37.38,grenade
236,0.77,3.67,8.4,1.23,49.35,11.35,grenade
237,-0.21,2.5,7.61,6.8,43.9,1.87,grenade
238,0.96,0.95,6.88,4.04,-100.94,-13.19,grenade
239,0.84,-3.61,5.66,-4.79,-155.37,-76.55,grenade
240,0.17,-5.59,2.92,68.24,-179.01,-159.39,grenade
241,-1.53,-4.12,1.0,131.93,-181.62,-190.81,grenade
242,-1.4,1.84,-0.84,84.05,-158.52,-144.83,grenade
243,-2.87,2.84,-1.51,-97.61,-159.26,-73.7,grenade
244,-3.15,6.28,-0.42,-179.19,-87.65,33.49,grenade
245,2.65,-26.28,2.27,-155.34,128.58,-297.08,grenade
246,-1.87,-25.62,-1.84,-155.34,-20.17,-320.46,grenade
247,-2.4,-21.59,-7.35,-155.34,-119.18,244.12,grenade
248,-6.74,-18.07,-10.9,-155.34,-49.88,222.09,grenade
249,-15.92,-12.63,-18.3,-168.4,-14.2,286.06,grenade
250,-16.38,3.59,-26.04,155.05,-45.42,-171.59,grenade
251,-6.1,0.31,-3.22,-33.0,-12.43,-111.94,grenade
252,-15.1,4.91,-7.75,25.97,91.65,-57.43,grenade
253,-20.82,2.94,-19.96,49.25,6.47,-1.73,grenade
254,-21.04,4.87,-21.75,-46.2,45.13,94.13,grenade
255,-14.49,8.15,-19.99,-118.34,-23.56,216.31,grenade
256,-8.11,3.76,-16.18,-307.59,136.13,-277.95,grenade
257,-8.36,-10.75,-9.36,155.33,197.09,-221.65,grenade
258,-5.22,-62.45,-5.97,155.33,193.0,-155.34,grenade
259,-2.99,-34.41,28.44,-220.14,-272.28,255.34,grenade
260,1.78,6.85,17.63,98.1,152.34,175.3,grenade
261,7.47,3.62,16.74,-10.77,-254.67,-32.5,grenade
262,-2.02,1.99,6.47,207.06,173.78,-142.07,grenade
263,-3.85,8.74,4.76,15.06,-244.44,0.06,grenade
264,-6.36,3.19,6.25,-11.59,22.76,-4.6,grenade
265,-2.11,3.59,9.42,43.88,-219.25,35.28,grenade
266,2.62,2.41,7.38,10.48,-162.1,18.17,grenade
267,2.43,-1.75,6.11,30.39,-83.77,-63.31,grenade
268,-0.48,-3.73,3.56,89.24,-93.02,-143.99,grenade
269,-2.92,-5.06,2.1,108.26,-207.67,-171.38,grenade
270,0.98,-0.77,1.8,105.58,-168.82,-139.11,grenade
271,-2.9,0.5,-0.64,73.46,12.46,-143.65,grenade
272,-4.76,8.99,-2.82,1.95,-61.77,-47.13,grenade
273,-4.58,6.54,-1.3,-193.1,-170.66,46.14,grenade
274,-5.99,4.9,-0.39,-250.5,-157.57,183.24,grenade
275,-1.36,-3.79,5.53,262.66,-208.54,303.62,grenade
276,6.99,-11.64,8.66,308.09,-210.93,-296.4,grenade
277,13.71,-15.65,10.82,-298.11,-208.97,-283.86,grenade
278,13.89,-17.33,10.28,-227.41,-116.23,287.78,grenade
279,12.59,-15.68,7.26,-173.38,-134.7,253.95,grenade
280,-4.72,-20.52,-1.94,-155.34,29.19,-253.4,grenade
281,-3.72,-16.87,-5.18,-155.34,-103.23,-299.99,grenade
282,-4.44,-15.6,-6.14,-155.34,-158.9,243.76,grenade
283,-7.09,-5.25,-11.49,-155.34,-71.72,257.11,grenade
284,-12.5,-5.09,-17.23,-310.75,-104.25,311.47,grenade
285,-17.02,3.21,-20.23,83.13,-34.77,-169.55,grenade
286,-6.23,0.96,-2.77,-19.12,54.4,-76.75,grenade
287,-9.93,3.89,-4.21,29.4,42.08,-50.38,grenade
288,-13.79,1.88,-11.57,75.52,66.28,-50.95,grenade
289,-17.17,3.42,-19.54,48.99,66.07,30.64,grenade
290,-13.76,2.85,-20.26,-12.33,19.68,84.95,grenade
291,-18.5,4.25,-27.58,-112.22,-16.43,174.46,grenade
292,-10.24,2.52,-18.91,307.77,41.0,324.07,grenade
293,-9.11,-9.34,-11.27,155.33,282.23,-165.87,grenade
294,-0.14,-39.59,21.64,155.33,204.78,262.54,grenade
295,4.35,-7.31,22.75,310.43,-43.79,105.17,grenade
296,11.72,4.69,11.17,9.26,276.0,-19.01,grenade
297,-0.48,1.61,7.57,111.71,322.58,-166.51,grenade
298,-5.55,7.55,8.59,32.47,-155.34,-12.14,grenade
299,-6.41,4.63,3.9,0.33,52.25,30.18,grenade
300,-1.68,2.3,8.39,43.76,-251.31,35.61,grenade
301,4.25,-2.73,6.83,-4.94,-103.78,-39.14,grenade
302,1.02,-5.24,3.96,83.71,-20.4,-130.91,grenade
303,-1.63,-4.83,2.58,149.65,-125.98,-146.34,grenade
304,0.9,-0.07,0.74,120.2,-104.8,-123.85,grenade
305,-1.49,2.82,0.85,69.76,-20.9,-121.65,grenade
306,-2.68,6.67,-0.8,11.42,-72.82,-36.54,grenade
307,-2.74,9.85,-0.81,-134.54,-62.42,37.44,grenade
308,-4.73,5.08,0.59,-244.67,-112.75,162.25,grenade
309,-0.64,-2.4,4.95,-324.59,-141.03,247.16,grenade
310,5.18,-6.79,8.63,-325.67,-199.55,-326.45,grenade
311,12.83,-13.72,12.01,296.19,-120.38,302.1,grenade
312,11.32,-11.72,10.09,-178.25,-222.96,300.56,grenade
313,19.19,-14.24,9.17,-231.28,-71.99,225.49,grenade
314,7.42,-13.44,5.68,-124.33,-148.84,156.2,grenade
315,-3.41,-13.57,-4.33,-155.34,-10.98,306.26,grenade
316,-3.99,-13.62,-4.79,-155.34,-171.17,177.93,grenade
317,-10.5,-4.31,-17.85,-155.34,89.14,284.96,grenade
318,-15.53,1.2,-23.86,166.88,37.12,-238.51,grenade
319,-10.76,1.63,-6.95,-34.73,57.43,-65.29,grenade
320,-7.26,6.03,-4.26,54.79,-19.21,-39.99,grenade
321,-12.2,0.62,-9.45,91.16,71.78,-39.18,grenade
322,-19.43,3.23,-24.64,95.29,30.01,12.23,grenade
323,-15.61,4.24,-22.55,-50.38,33.28,123.6,grenade
324,-13.92,6.77,-25.89,-117.18,-41.58,207.36,grenade
325,-5.88,2.42,-16.7,305.62,91.83,-287.11,grenade
326,-4.87,-12.72,-8.89,155.33,319.78,-282.14,grenade
327,-14.27,-41.76,-3.43,155.33,95.48,326.97,grenade
328,-6.24,-41.58,21.26,155.33,-313.08,248.02,grenade
329,3.66,-4.5,24.27,262.25,17.68,133.52,grenade
330,12.53,3.94,16.8,-40.27,271.19,5.4,grenade
331,-0.68,-0.23,8.82,168.39,258.41,-200.6,grenade
332,-4.32,3.85,6.58,173.3,-161.67,-19.27,grenade
333,-3.73,-0.23,7.43,60.99,-64.53,-33.23,grenade
334,-1.91,-2.28,9.01,20.69,-260.36,-32.79,grenade
335,0.96,-5.82,6.55,76.78,-202.31,-65.58,grenade
336,-0.59,-4.56,2.78,237.93,-20.35,-138.25,grenade
337,-2.36,2.85,1.73,261.0,-26.04,-117.13,grenade
338,-1.81,4.02,-1.27,92.85,-129.03,-75.72,grenade
